round,team_id,orders,sessions,conversion_rate,aov_net,revenue_net,gross_margin_pct,contribution_margin_pct,cac_blended,repeat_order_share,active_customers,ltv_cac_ratio,rating,nps,service_level,instock_rate,delivery_success,rto_rate,return_rate,cash_balance,runway_rounds,market_share,binding_constraint
2,team_05,4684.714392179167,287744.29139499227,0.016280824788799605,2959.024067999999,10921646.176017309,0.37864192881369174,0.0020851218034018165,674.1154953179199,0.16783790075665436,17274.56369311734,1.6165400206624279,4.099403984302947,82.94016734072378,1.0,1.0,0.9559,0.1476,0.08488083150794008,10436410.074607858,23.59421452800625,0.23888065007713022,under_marketing
2,team_06,2472.6354966881113,141216.13682794507,0.01750958178172457,2959.024067999999,5746830.778885005,0.37816481137338226,0.12884717805452583,359.8505234620427,0.27116748046049427,13075.817533724969,3.01762222091319,4.099403984302947,82.94016734072378,1.0,1.0,0.9559,0.1476,0.08488083150794008,6103538.745094607,1.900255693060843,0.1256959482314889,under_marketing
3,team_01,3521.2655653190395,206152.73850580785,0.01708085757599498,2959.024067999999,7693168.393082359,0.37843159276288263,0.002976891035436607,660.9263807481585,0.2619980284580365,16806.024774708872,1.5362569314513415,4.094558166354444,78.11161642688666,1.0,1.0,0.898546,0.156456,0.08318923358102699,2401598.6370371534,0.42582115399482573,0.15909327294557127,under_marketing
3,team_02,6953.68862473272,215307.41473880337,0.03229655900689009,2012.136366239999,10597091.380713351,0.09165804488254124,-0.28551258004645974,284.25874228278116,0.09032811742388651,20587.061442134018,0.18196076144319054,3.9681754463338144,58.50937764850072,1.0,1.0,0.898546,0.156456,0.08488083150794008,1338271.6554184016,0.165226920294965,0.2191458532191967,under_marketing
3,team_03,3190.5906402001165,181208.7863849996,0.017607262340035363,2959.024067999999,7055724.052128458,0.3802988789021619,-0.025771381560539087,743.2894292389122,0.2378345413499164,15297.44753672374,1.410254411446848,4.343359555652239,88.56127477739403,1.0,1.0,0.898546,0.156456,0.07171573111856415,6324208.121049988,99.0,0.1459110440716812,under_marketing
3,team_04,3213.4428018851286,185286.55822311426,0.01734309726891055,2959.024067999999,6645158.724834411,0.36967380708943376,-0.04163235494196792,753.3393016491032,0.3183942063539864,16349.377005589502,1.1683869012714012,4.110676284193211,78.78857737611484,1.0,1.0,0.898546,0.156456,0.13039595283053712,2965256.2666842854,1.1507489058406102,0.13742063045537284,under_marketing
3,team_05,4945.392236825565,299615.75983773044,0.01650578140316768,2959.024067999999,10789344.688467776,0.3782129810330186,-0.01782845667971917,656.6012595147322,0.19067509181569903,20211.896642600197,1.5429191338217128,4.064079638939339,75.47645852448488,1.0,1.0,0.898546,0.156456,0.08488083150794008,7079915.240427861,2.1093180803769975,0.22312161540227415,under_marketing
3,team_06,2560.5054576104167,145365.30854761988,0.017614281448531627,2959.024067999999,5575852.728173351,0.3779236836628513,0.10879402163079255,352.8897494342261,0.2822962239401619,14049.408710344367,2.872659125118213,4.069499877943208,77.05916831361475,1.0,1.0,0.898546,0.156456,0.08488083150794008,5271886.107987336,6.339048146741272,0.11530758390590379,under_marketing
4,team_01,3738.6444303329395,217980.70958521924,0.017151262776632634,2959.024067999999,8857440.409009302,0.3811128681024078,0.054060585610698306,634.878703048569,0.27639015503095277,18719.239796852482,1.778845414340965,4.107282259806305,83.27105491186481,1.0,1.0,0.9559,0.1476,0.08318923358102699,1540964.2576289931,1.7904981424152278,0.16133819861350185,under_marketing
4,team_02,7196.751273233376,225875.90532475634,0.03186152707561324,2012.136366239999,11550604.299232716,0.08902715197071168,-0.25413258191979066,274.04958472861455,0.0883078835214465,22484.852152274772,0.18404691795928346,3.936749201782038,58.45291317915117,1.0,1.0,0.9559,0.1476,0.08488083150794008,0.0,0.0,0.21039415502474865,wasted_spend
4,team_03,3220.7226734526735,178186.8892361067,0.01807496997820671,2959.024067999999,7687613.200511319,0.38224635759853687,0.01526672063394938,759.8562449634051,0.26142681110166555,16750.606294651763,1.515604207000724,4.395051172633389,95.35734925060233,1.0,1.0,0.9559,0.1476,0.07171573111856415,5161716.175945739,4.440216723809516,0.14002980637005505,under_marketing
4,team_04,3372.388966789938,193152.57629157635,0.017459715172005254,2959.024067999999,7613461.6976171825,0.3735856579749873,0.015212266975509982,738.1327768550033,0.3371392223257242,18059.402604069706,1.3755898926534984,4.125924813452696,84.05404216501321,1.0,1.0,0.9559,0.1476,0.13039595283053712,3524738.6471356237,99.0,0.13867913740148313,under_marketing
4,team_05,5365.143874153046,324325.8399631339,0.016542449638804302,2959.024067999999,12712339.256451044,0.3811304112660122,0.041280093990984354,616.1068474044378,0.204961879661549,23316.54475411523,1.8338191037988831,4.056389329078243,76.60459664367613,1.0,1.0,0.9559,0.1476,0.08488083150794008,3841752.836663902,1.1863990614548374,0.23155514698279706,under_marketing
4,team_06,2737.3941168692427,156322.5316788795,0.017511193603827028,2959.024067999999,6478375.6780858,0.3809496056839799,0.1475210236690072,330.7245818782318,0.28368148813096933,15144.420406237503,3.4309587591489796,4.078299317091392,82.05377131783844,1.0,1.0,0.9559,0.1476,0.08488083150794008,7106380.253185765,99.0,0.11800355560741418,under_marketing
